Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001,SE_A002_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T082_001,SE_T082_002,SE_T082_003,SE_T100_001,SE_T100_002,SE_T100_003
"Census Tract 1073","Census Tract 1073, St. Louis City, Missouri","G2905100107300","2905100107300","50",0.63069349852266,"29510107300","29","510","107300",8902,0.63069349852266,8902,8810,662,8118,16,14,92,7,80,0,5,2630,2521,109,8880,7217,1663
"Census Tract 1074","Census Tract 1074, St. Louis City, Missouri","G2905100107400","2905100107400","50",0.42889393935171,"29510107400","29","510","107400",6112,0.42889393935171,6112,6084,428,5646,2,8,28,1,24,0,3,1810,1591,219,6065,3616,2449
"Census Tract 1075","Census Tract 1075, St. Louis City, Missouri","G2905100107500","2905100107500","50",0.38149419464439,"29510107500","29","510","107500",5550,0.38149419464439,5550,5503,175,5317,4,7,47,5,39,2,1,1631,1487,144,5450,4108,1342
"Census Tract 1076","Census Tract 1076, St. Louis City, Missouri","G2905100107600","2905100107600","50",0.45739597181394,"29510107600","29","510","107600",3845,0.45739597181394,3845,3809,97,3707,3,2,36,2,32,2,0,1382,1263,119,3825,3075,750
"Census Tract 1077","Census Tract 1077, St. Louis City, Missouri","G2905100107700","2905100107700","50",0.39671632339617,"29510107700","29","510","107700",5700,0.39671632339617,5700,5670,83,5576,3,8,30,0,29,1,0,2145,2038,107,5683,4594,1089
"Census Tract 1081","Census Tract 1081, St. Louis City, Missouri","G2905100108100","2905100108100","50",1.24610086154179,"29510108100","29","510","108100",4144,1.24610086154179,4144,4096,1962,2113,6,15,48,24,9,0,15,1590,1518,72,4110,3785,325
"Census Tract 1082","Census Tract 1082, St. Louis City, Missouri","G2905100108200","2905100108200","50",0.31872932037977,"29510108200","29","510","108200",3154,0.31872932037977,3154,3135,1499,1629,3,4,19,11,5,0,3,1175,1169,6,2975,2703,272
"Census Tract 1083","Census Tract 1083, St. Louis City, Missouri","G2905100108300","2905100108300","50",0.29190950058531,"29510108300","29","510","108300",2684,0.29190950058531,2684,2675,1696,962,11,6,9,9,0,0,0,1065,1048,17,2640,2334,306
"Census Tract 1084","Census Tract 1084, St. Louis City, Missouri","G2905100108400","2905100108400","50",3.02321665664866,"29510108400","29","510","108400",1348,3.02321665664866,1348,1330,1008,316,5,1,18,14,2,1,1,740,675,65,1297,1129,168
"Census Tract 1085","Census Tract 1085, St. Louis City, Missouri","G2905100108500","2905100108500","50",2.82545505795044,"29510108500","29","510","108500",1069,2.82545505795044,1069,1057,761,292,4,0,12,5,1,5,1,518,424,94,1039,831,208
"Census Tract 1096","Census Tract 1096, St. Louis City, Missouri","G2905100109600","2905100109600","50",1.21781012496617,"29510109600","29","510","109600",5846,1.21781012496617,5846,5817,317,5487,8,5,29,4,24,0,1,2009,1828,181,5837,4518,1319
"Census Tract 1097","Census Tract 1097, St. Louis City, Missouri","G2905100109700","2905100109700","50",1.52738134246647,"29510109700","29","510","109700",7592,1.52738134246647,7592,7478,1282,6171,15,10,114,23,52,4,35,2644,2042,602,7266,4082,3184
"Census Tract 1101","Census Tract 1101, St. Louis City, Missouri","G2905100110100","2905100110100","50",0.38537497460055,"29510110100","29","510","110100",5619,0.38537497460055,5619,5597,70,5507,10,10,22,0,22,0,0,2032,1908,124,5615,4012,1603
"Census Tract 1102","Census Tract 1102, St. Louis City, Missouri","G2905100110200","2905100110200","50",0.30017098907029,"29510110200","29","510","110200",5254,0.30017098907029,5254,5215,68,5138,4,5,39,0,38,1,0,1833,1664,169,5239,3817,1422
"Census Tract 1103","Census Tract 1103, St. Louis City, Missouri","G2905100110300","2905100110300","50",0.36055779848541,"29510110300","29","510","110300",5092,0.36055779848541,5092,5061,50,5000,8,3,31,0,31,0,0,2218,1988,230,4978,3639,1339
"Census Tract 1104","Census Tract 1104, St. Louis City, Missouri","G2905100110400","2905100110400","50",0.34128006646022,"29510110400","29","510","110400",5046,0.34128006646022,5046,5013,70,4923,10,10,33,0,32,0,1,1856,1661,195,4997,3704,1293
"Census Tract 1105","Census Tract 1105, St. Louis City, Missouri","G2905100110500","2905100110500","50",0.48862219129569,"29510110500","29","510","110500",4103,0.48862219129569,4103,4042,198,3830,2,12,61,0,58,1,2,1281,1117,164,4060,2574,1486
"Census Tract 1111","Census Tract 1111, St. Louis City, Missouri","G2905100111100","2905100111100","50",0.42533524474983,"29510111100","29","510","111100",4341,0.42533524474983,4341,4332,24,4302,5,1,9,0,8,0,1,1915,1617,298,4341,2245,2096
"Census Tract 1112","Census Tract 1112, St. Louis City, Missouri","G2905100111200","2905100111200","50",0.40326292883599,"29510111200","29","510","111200",4517,0.40326292883599,4517,4483,34,4439,8,2,34,0,34,0,0,2021,1637,384,4502,2983,1519
"Census Tract 1113","Census Tract 1113, St. Louis City, Missouri","G2905100111300","2905100111300","50",0.37124384381363,"29510111300","29","510","111300",3869,0.37124384381363,3869,3849,13,3814,6,16,20,0,19,0,1,1910,1550,360,3832,2331,1501
"Census Tract 1114","Census Tract 1114, St. Louis City, Missouri","G2905100111400","2905100111400","50",0.34896486349043,"29510111400","29","510","111400",4625,0.34896486349043,4625,4586,41,4531,11,3,39,1,37,0,1,1911,1699,212,4557,3054,1503
"Census Tract 1115","Census Tract 1115, St. Louis City, Missouri","G2905100111500","2905100111500","50",0.30436102905931,"29510111500","29","510","111500",2909,0.30436102905931,2909,2892,18,2864,4,6,17,0,16,0,1,1291,1017,274,2886,1555,1331
"Census Tract 1121","Census Tract 1121, St. Louis City, Missouri","G2905100112100","2905100112100","50",2.69232876761082,"29510112100","29","510","112100",4055,2.69232876761082,4055,4008,2090,1878,30,10,47,24,16,1,6,2842,1958,884,3701,2941,760
